Date,Close,Symbol,Description,Category,Daily_Returns,Positive Rtn Indicator,Negative Rtn Indicator,Last_Event_Date,EventName,Days,DaysFromEvent,Days Cumulative,T Price,Nearest Event Date,indexedRtn
7/2/98,0.6209,AUDUSD,AUDUSD,FX,0.001290115,1,0,3/15/20,FED EMERGENCY CUT,-60,T-60,T-60 to T,0.6356,10/15/98,-0.023127753
7/3/98,0.6148,AUDUSD,AUDUSD,FX,-0.009824448,0,1,3/15/20,FED EMERGENCY CUT,-59,T-59,T-60 to T,0.6356,10/15/98,-0.032724984
7/7/98,0.6159,AUDUSD,AUDUSD,FX,0.0017892,1,0,3/15/20,FED EMERGENCY CUT,-58,T-58,T-60 to T,0.6356,10/15/98,-0.030994336
7/8/98,0.6201,AUDUSD,AUDUSD,FX,0.006819289,1,0,3/15/20,FED EMERGENCY CUT,-57,T-57,T-60 to T,0.6356,10/15/98,-0.024386407
7/9/98,0.6177,AUDUSD,AUDUSD,FX,-0.003870344,0,1,3/15/20,FED EMERGENCY CUT,-56,T-56,T-60 to T,0.6356,10/15/98,-0.028162366
7/10/98,0.6121,AUDUSD,AUDUSD,FX,-0.00906589,0,1,3/15/20,FED EMERGENCY CUT,-55,T-55,T-60 to T,0.6356,10/15/98,-0.036972939
7/14/98,0.6173,AUDUSD,AUDUSD,FX,0.008495344,1,0,3/15/20,FED EMERGENCY CUT,-54,T-54,T-60 to T,0.6356,10/15/98,-0.028791693
7/15/98,0.6228,AUDUSD,AUDUSD,FX,0.008909768,1,0,3/15/20,FED EMERGENCY CUT,-53,T-53,T-60 to T,0.6356,10/15/98,-0.020138452
7/16/98,0.6231,AUDUSD,AUDUSD,FX,0.000481696,1,0,3/15/20,FED EMERGENCY CUT,-52,T-52,T-60 to T,0.6356,10/15/98,-0.019666457
7/17/98,0.6308,AUDUSD,AUDUSD,FX,0.012357567,1,0,3/15/20,FED EMERGENCY CUT,-51,T-51,T-60 to T,0.6356,10/15/98,-0.007551919
7/21/98,0.6299,AUDUSD,AUDUSD,FX,-0.00142676,0,1,3/15/20,FED EMERGENCY CUT,-50,T-50,T-60 to T,0.6356,10/15/98,-0.008967904
7/22/98,0.6258,AUDUSD,AUDUSD,FX,-0.00650897,0,1,3/15/20,FED EMERGENCY CUT,-49,T-49,T-60 to T,0.6356,10/15/98,-0.015418502
7/23/98,0.6224,AUDUSD,AUDUSD,FX,-0.005433046,0,1,3/15/20,FED EMERGENCY CUT,-48,T-48,T-60 to T,0.6356,10/15/98,-0.020767779
7/24/98,0.6208,AUDUSD,AUDUSD,FX,-0.002570694,0,1,3/15/20,FED EMERGENCY CUT,-47,T-47,T-60 to T,0.6356,10/15/98,-0.023285085
7/28/98,0.6093,AUDUSD,AUDUSD,FX,-0.018524485,0,1,3/15/20,FED EMERGENCY CUT,-46,T-46,T-60 to T,0.6356,10/15/98,-0.041378225
7/29/98,0.6147,AUDUSD,AUDUSD,FX,0.008862629,1,0,3/15/20,FED EMERGENCY CUT,-45,T-45,T-60 to T,0.6356,10/15/98,-0.032882316
7/30/98,0.6135,AUDUSD,AUDUSD,FX,-0.001952172,0,1,3/15/20,FED EMERGENCY CUT,-44,T-44,T-60 to T,0.6356,10/15/98,-0.034770296
7/31/98,0.6094,AUDUSD,AUDUSD,FX,-0.006682967,0,1,3/15/20,FED EMERGENCY CUT,-43,T-43,T-60 to T,0.6356,10/15/98,-0.041220894
8/4/98,0.6022,AUDUSD,AUDUSD,FX,-0.0118149,0,1,3/15/20,FED EMERGENCY CUT,-42,T-42,T-60 to T,0.6356,10/15/98,-0.052548773
8/5/98,0.6064,AUDUSD,AUDUSD,FX,0.006974427,1,0,3/15/20,FED EMERGENCY CUT,-41,T-41,T-60 to T,0.6356,10/15/98,-0.045940843
8/6/98,0.6088,AUDUSD,AUDUSD,FX,0.003957784,1,0,3/15/20,FED EMERGENCY CUT,-40,T-40,T-60 to T,0.6356,10/15/98,-0.042164884
8/7/98,0.6047,AUDUSD,AUDUSD,FX,-0.00673456,0,1,3/15/20,FED EMERGENCY CUT,-39,T-39,T-60 to T,0.6356,10/15/98,-0.048615481
8/11/98,0.5964,AUDUSD,AUDUSD,FX,-0.013725815,0,1,3/15/20,FED EMERGENCY CUT,-38,T-38,T-60 to T,0.6356,10/15/98,-0.061674009
8/12/98,0.5941,AUDUSD,AUDUSD,FX,-0.003856472,0,1,3/15/20,FED EMERGENCY CUT,-37,T-37,T-60 to T,0.6356,10/15/98,-0.065292637
